match_id,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,pass_success_ratio_home,pass_success_ratio_away,cross_success_ratio_home,cross_success_ratio_away,tackles_success_ratio_home,tackles_success_ratio_away,dribbles_success_ratio_home,dribbles_success_ratio_away,possession_percentage_home,possession_percentage_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winner_team,percentage_total_shots_home,percentage_shots_high_xG_home,percentage_shots_inside_area_home,percentage_shots_foot_home,percentage_shots_head_home,percentage_shots_other_home,percentage_total_passes_home,percentage_key_passes_home,difference_passes_needed_to_make_a_shot_home,percentage_crosses_home,percentage_corners_home,percentage_interceptions_won_home,percentage_recoveries_home,percentage_blocks_home,percentage_duels_won_home,percentage_tackles_home,percentage_fouls_committed_home,percentage_50_50_won_home,percentage_clearance_home,percentage_penaltys_committed_home,percentage_key_errors_home,percentage_miscontrols_home,percentage_yellow_cards_home,percentage_red_cards_home,percentage_pressures_home,percentage_counterpress_home,percentage_pressures_in_attacking_third_home,percentage_offsides_home,percentage_dribbles_home,percentage_injury_substitutions_home,percentage_players_off_home,percentage_dispossessed_home,percentage_counterattacks_home,percentage_recoveries_attacking_third_home,percentage_recoveries_middle_third_home,percentage_recoveries_defensive_third_home,percentage_shots_under_pressure_home,percentage_shots_inside_area_under_pressure_home,percentage_passes_under_pressure_home,percentage_passes_inside_area_under_pressure_home,percentage_set_piece_shots_home,percentage_set_piece_shots_inside_area_home,percentage_substitutions_home,percentage_tactical_substitutions_home,percentage_tactical_changes_home,percentage_formation_changes_home
3825813,0.4375,0.16666666666666666,14.191743302089165,23.842189496772317,0.6875,0.5,0.8134328358208955,0.7842741935483871,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.5769230769230769,0.5,0.5889455915751368,0.4110544084248632,0.5,0.0,9,1,1,1,0.8,1,0.0,1,1,1,0,1,1,1,3,1,3,1,3,1,4.546060565661952,1,3.0912061651652345,1,home_team,0.7272727272727273,0.8,0.7857142857142857,0.6666666666666666,1.0,0.5,0.5193798449612403,0.8235294117647058,-49.16666666666667,0.6,0.9090909090909091,0.5909090909090909,0.5,0.5405405405405406,0.5555555555555556,0.5172413793103449,0.6,1.0,0.4482758620689655,0.5,0.0,0.4482758620689655,0.5,0.5,0.45302013422818793,0.4461538461538462,0.4339622641509434,0.5,0.6842105263157895,0.0,0.5,0.35714285714285715,0.5,0.5,0.7857142857142857,0.25,1.0,1.0,0.5174825174825175,0.75,0.75,0.8333333333333334,0.5,0.6,0.3333333333333333,0.0
3825812,0.15384615384615385,0.4444444444444444,24.377409746538817,23.652969620024223,0.23076923076923078,0.5555555555555556,0.6956521739130435,0.7201565557729941,0.14285714285714285,0.4166666666666667,0.6875,0.5652173913043478,0.5862068965517241,0.5555555555555556,0.4972105773401163,0.5027894226598837,0.0,0.3333333333333333,2,1,0,1,0.0,1,0.0,1,0,1,0,1,3,1,2,1,3,1,0,1,2.0548046676563256,1,4.4969125210773475,1,home_team,0.5909090909090909,0.0,0.375,0.6111111111111112,0.5,0.5,0.4859154929577465,0.625,-19.623931623931625,0.5384615384615384,0.42857142857142855,0.3888888888888889,1.0,0.44642857142857145,0.4583333333333333,0.41025641025641024,0.38461538461538464,0.5,0.4888888888888889,0.5,0.5,0.42857142857142855,0.3333333333333333,0.5,0.4419475655430712,0.5064935064935064,0.4230769230769231,0.375,0.6170212765957447,0.5,0.5,0.6086956521739131,0.5,0.0,0.5,0.4,0.5,0.5,0.6557377049180327,1.0,0.7,0.5,0.5,0.5,1.0,1.0
3825881,0.125,0.2,10.062305898749054,9.544752089188542,0.625,0.7,0.688953488372093,0.7343096234309623,0.1,0.16666666666666666,0.6,0.5454545454545454,0.3181818181818182,0.47368421052631576,0.4276905070301081,0.572309492969892,0.0,0.14285714285714285,6,1,6,1,0.4,1,0.6,1,1,1,1,1,2,1,1,1,0,1,2,1,1.8856180831641267,1,4.189935029992179,1,draw,0.4444444444444444,0.5,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.5,0.41849148418491483,0.4166666666666667,-4.799999999999997,0.29411764705882354,0.2,0.6363636363636364,0.5,0.6896551724137931,0.5,0.47619047619047616,0.34285714285714286,1.0,0.7105263157894737,0.5,0.5,0.42857142857142855,0.6666666666666666,1.0,0.48535564853556484,0.4791666666666667,0.36585365853658536,0.8333333333333334,0.5365853658536586,0.5,0.5,0.47368421052631576,0.5,0.5,0.5,0.7142857142857143,0.375,0.2857142857142857,0.44642857142857145,0.4,0.46153846153846156,0.5,0.5,0.5,0.0,0.5
3825879,0.3333333333333333,0.3333333333333333,18.116835485894736,12.811243810233576,0.8,0.6666666666666666,0.8181818181818182,0.8403669724770643,0.375,0.375,0.875,0.8,0.75,0.8,0.5413173957073366,0.4586826042926635,0.3333333333333333,0.2857142857142857,9,1,6,1,0.6,1,0.6,1,1,1,1,1,0,1,1,1,1,1,7,1,0.9428090415820634,1,2.6246692913372702,1,away_team,0.5555555555555556,0.5,0.6,0.5,0.625,1.0,0.5072332730560579,0.45,-8.016666666666666,0.5,0.5454545454545454,0.42857142857142855,0.5,0.38235294117647056,0.4666666666666667,0.4444444444444444,0.4230769230769231,0.0,0.5,0.5,0.5,0.4,0.5,0.0,0.49375,0.5352112676056338,0.5128205128205128,0.3333333333333333,0.4444444444444444,0.5,0.5,0.6153846153846154,0.6,0.25,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5714285714285714,0.4262295081967213,1.0,0.631578947368421,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
3825858,0.25,0.14285714285714285,9.405521657285604,12.182364302548171,0.5,0.8571428571428571,0.6735112936344969,0.5444126074498568,0.2,0.25,0.5263157894736842,0.47058823529411764,0.65,0.4444444444444444,0.5667794335560713,0.43322056644392876,0.2,0.16666666666666666,1,1,0,1,0.0,1,0.2,1,0,1,0,1,2,1,4,1,1,1,0,1,1.699673171197595,1,2.0548046676563256,1,draw,0.631578947368421,0.6666666666666666,0.5,0.6428571428571429,0.6,0.5,0.5825358851674641,0.5833333333333334,-9.273809523809518,0.4838709677419355,1.0,0.46153846153846156,0.5,0.46875,0.5555555555555556,0.5277777777777778,0.4722222222222222,0.5,0.3157894736842105,0.5,0.5,0.6956521739130435,0.7142857142857143,0.0,0.4246031746031746,0.4528301886792453,0.3018867924528302,0.625,0.6896551724137931,0.5,0.5,0.42857142857142855,0.5,1.0,0.3333333333333333,0.6666666666666666,0.4,0.4,0.6130952380952381,0.6,0.625,0.5,0.5,0.5,1.0,0.5
3825821,0.4117647058823529,0.3076923076923077,16.111342135953286,14.581741512603802,0.5882352941176471,0.5384615384615384,0.6854219948849105,0.7715289982425307,0.5,0.3333333333333333,0.6296296296296297,0.5714285714285714,0.7333333333333333,0.6923076923076923,0.4169087155467471,0.5830912844532529,0.36363636363636365,0.16666666666666666,4,1,9,1,0.6,1,0.8,1,1,1,1,1,1,1,1,1,1,1,3,1,4.496912521077347,1,3.39934634239519,1,home_team,0.5666666666666667,0.6666666666666666,0.5882352941176471,0.5714285714285714,0.5,0.5,0.40729166666666666,0.5238095238095238,-20.769230769230766,0.4,0.75,0.7,1.0,0.4666666666666667,0.68,0.6585365853658537,0.44,0.5,0.6170212765957447,0.5,0.5,0.5833333333333334,0.5,0.5,0.5066225165562914,0.4266666666666667,0.47368421052631576,0.6666666666666666,0.5357142857142857,0.5,0.5,0.30303030303030304,0.3333333333333333,1.0,0.7,0.7,0.375,0.2857142857142857,0.4934210526315789,0.3333333333333333,0.6470588235294118,0.625,0.5,0.5,0.6666666666666666,1.0
3825907,0.25,0.25,13.3652614360235,24.8847342762586,0.6666666666666666,0.5,0.7864077669902912,0.7167919799498746,0.2857142857142857,0.25,0.4583333333333333,0.6666666666666666,0.55,0.6428571428571429,0.599449815164842,0.40055018483515786,0.125,0.25,0,1,9,1,0.0,1,0.8,1,0,1,1,1,1,1,0,1,0,1,3,1,2.160246899469287,1,2.943920288775949,1,home_team,0.75,1.0,0.8,0.7333333333333333,1.0,0.5,0.6076696165191741,0.75,-48.25,0.84,0.7777777777777778,0.5238095238095238,0.5,0.43902439024390244,0.44,0.5333333333333333,0.5294117647058824,0.5,0.2413793103448276,0.5,0.5,0.4857142857142857,0.7142857142857143,0.5,0.4831804281345566,0.6463414634146342,0.7941176470588235,0.0,0.5882352941176471,0.5,0.5,0.4444444444444444,0.4,0.0,0.6666666666666666,0.42857142857142855,1.0,1.0,0.5911949685534591,0.875,0.6666666666666666,0.6666666666666666,0.5,0.5,0.2,0.5
266106,0.4,0.4,14.565451068321375,16.89631953791923,0.6,0.4666666666666667,0.7832369942196532,0.874826147426982,0.4,0.25,0.7647058823529411,0.6,0.7,0.42105263157894735,0.3665019480822911,0.6334980519177089,0.14285714285714285,0.4,1,1,9,1,0.2,1,1.0,1,0,1,1,1,4,1,0,1,2,1,6,1,3.0912061651652345,1,4.4969125210773475,1,draw,0.5,0.5,0.5625,0.5,0.5,0.5,0.3248826291079812,0.4375,-24.866666666666664,0.45454545454545453,0.5,0.2857142857142857,1.0,0.5675675675675675,0.5909090909090909,0.53125,0.6333333333333333,0.5,0.75,1.0,1.0,0.5384615384615384,0.6666666666666666,0.5,0.6730038022813688,0.4897959183673469,0.7636363636363637,0.4,0.3448275862068966,0.5,0.5,0.6,0.5,1.0,0.4,0.0,0.3333333333333333,0.5,0.1796875,0.14285714285714285,0.4117647058823529,0.3333333333333333,0.6,0.6,0.3333333333333333,0.5
3825819,0.35714285714285715,0.38461538461538464,21.43850326276701,16.075433556167404,0.6428571428571429,0.7692307692307693,0.7531120331950207,0.7515274949083504,0.3,0.2222222222222222,0.5185185185185185,0.5862068965517241,0.4827586206896552,0.5862068965517241,0.508773250971254,0.49122674902874613,0.3333333333333333,0.2857142857142857,3,1,4,1,0.4,1,0.6,1,0,1,0,1,1,1,0,1,0,1,1,1,2.494438257849294,1,1.699673171197595,1,away_team,0.5185185185185185,0.0,0.47368421052631576,0.56,0.0,0.5,0.49537512846865367,0.5,-3.340659340659336,0.5263157894736842,0.4444444444444444,0.5925925925925926,0.0,0.475,0.45161290322580644,0.48214285714285715,0.5,0.0,0.34285714285714286,0.5,0.5,0.6333333333333333,1.0,0.5,0.5736434108527132,0.6588235294117647,0.6363636363636364,0.3333333333333333,0.5,0.0,0.5,0.45454545454545453,0.5,0.0,0.5555555555555556,0.6666666666666666,0.5,0.5,0.5,0.6,0.46153846153846156,0.4444444444444444,0.5,0.6,0.0,0.5
3825818,0.2,0.5384615384615384,18.89377995380484,18.978160741490182,0.5333333333333333,0.6923076923076923,0.7906197654941374,0.727027027027027,0.17142857142857143,0.3333333333333333,0.75,0.42105263157894735,0.5625,0.6666666666666666,0.6150282758001778,0.38497172419982223,0.18181818181818182,0.7142857142857143,1,1,6,1,0.2,1,0.6,1,0,1,1,1,1,1,2,1,0,1,1,1,3.7712361663282534,1,2.0548046676563256,1,away_team,0.5357142857142857,0.0,0.47058823529411764,0.4,0.875,0.5,0.6173733195449845,0.5555555555555556,11.338461538461537,0.9210526315789473,0.6875,0.475,0.5,0.3235294117647059,0.5294117647058824,0.3870967741935484,0.5142857142857142,1.0,0.23255813953488372,1.0,0.5,0.3888888888888889,0.4444444444444444,0.5,0.48,0.5,0.7,1.0,0.64,0.5,0.5,0.6086956521739131,0.5,1.0,0.7058823529411765,0.23809523809523808,0.875,0.8571428571428571,0.536,1.0,0.6111111111111112,0.6,0.5,0.5,0.5,0.5
