match_id,total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shot_home,passes_needed_to_make_a_shot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,pressures_home,pressures_away,counterpress_home,counterpress_away,pressures_in_attacking_third_home,pressures_in_attacking_third_away,offsides_home,offsides_away,dribbles_home,dribbles_away,dribbles_success_ratio_home,dribbles_success_ratio_away,injury_substitutions_home,injury_substitutions_away,players_off_home,players_off_away,dispossessed_home,dispossessed_away,counterattacks_home,counterattacks_away,possession_percentage_home,possession_percentage_away,recoveries_attacking_third_home,recoveries_attacking_third_away,recoveries_middle_third_home,recoveries_middle_third_away,recoveries_defensive_third_home,recoveries_defensive_third_away,shots_under_pressure_home,shots_under_pressure_away,shots_inside_area_under_pressure_home,shots_inside_area_under_pressure_away,passes_under_pressure_home,passes_under_pressure_away,passes_inside_area_under_pressure_home,passes_inside_area_under_pressure_away,set_piece_shots_home,set_piece_shots_away,set_piece_shots_inside_area_home,set_piece_shots_inside_area_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,substitutions_home,substitutions_away,tactical_substitutions_home,tactical_substitutions_away,tactical_changes_home,tactical_changes_away,formation_changes_home,formation_changes_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winner_team
265944,23,4,0.34782608695652173,0.5,12.27754610278648,13.184821681595498,7,1,16,3,0.6956521739130435,0.75,19,4,4,0,0,0,744,291,0.8709677419354839,0.6735395189003437,14,3,32.34782608695652,72.75,12,5,0.3333333333333333,0.2,6,1,2,5,0,0,15,16,5,12,9,20,0.5555555555555556,0.65,11,13,0,0,14,24,0,3,0,1,2,9,0,3,0,1,106,239,23,20,26,24,1,0,22,13,0.7727272727272727,0.8461538461538461,0,0,0,0,16,8,2,1,0.7297246244945328,0.2702753755054672,1,0,0,1,1,4,3,0,2,0,139,43,7,2,11,2,7,2,0.2727272727272727,0.5,3,3,3,3,0,2,0,0,3,1,4,1,0.2,1,0.4,1,0,1,0,1,0,1,1,1,8,1,2,1,3.681787005729087,1,1.247219128924647,1,home_team
3825871,15,12,0.6,0.4166666666666667,17.744630171694766,19.98010025214798,0,3,10,8,0.6666666666666666,0.6666666666666666,11,11,4,0,0,1,637,391,0.8524332810047096,0.7749360613810742,13,7,42.46666666666667,32.583333333333336,9,7,0.2222222222222222,0.42857142857142855,5,5,11,10,0,0,12,13,10,11,16,16,0.625,0.6875,17,16,0,0,12,14,0,0,0,0,15,21,4,4,0,0,171,282,48,36,35,44,4,2,28,19,0.8214285714285714,0.5789473684210527,1,1,0,0,11,10,3,2,0.6096250251852436,0.3903749748147564,3,4,2,2,6,5,4,2,4,0,151,74,3,2,9,7,8,3,0.5555555555555556,0.2857142857142857,3,3,2,2,1,2,0,2,4,1,1,1,0.6,1,0.2,1,0,1,0,1,1,1,1,1,0,1,1,1,4.189935029992179,1,0.4714045207910317,1,home_team
3825847,9,9,0.2222222222222222,0.1111111111111111,11.190801865798093,21.28097742116184,0,0,8,5,0.8888888888888888,0.5555555555555556,6,9,3,0,0,0,449,489,0.6636971046770601,0.689161554192229,5,6,49.888888888888886,54.333333333333336,8,9,0.0,0.1111111111111111,11,7,13,10,0,0,16,17,12,11,20,17,0.6,0.6470588235294118,20,12,0,1,26,28,0,0,0,0,22,6,0,1,0,0,243,225,56,52,60,46,0,2,14,24,0.8571428571428571,0.4583333333333333,0,0,0,0,15,8,1,1,0.5152908327367808,0.4847091672632192,0,1,6,5,7,4,4,3,4,1,105,151,4,1,9,7,8,3,0.2222222222222222,0.0,3,2,3,2,3,0,1,0,3,1,1,1,0.2,1,0.2,1,1,1,0,1,4,1,8,1,0,1,0,1,0.4714045207910317,1,6.182412330330469,1,draw
3825870,11,5,0.18181818181818182,0.4,10.193971524998691,15.549131180906052,1,1,5,4,0.45454545454545453,0.8,10,5,1,0,0,0,500,395,0.702,0.6481012658227848,7,5,45.45454545454545,79.0,15,11,0.13333333333333333,0.2727272727272727,7,2,11,11,0,0,10,18,14,6,18,9,0.7777777777777778,0.6666666666666666,14,19,1,0,23,22,0,1,0,1,12,12,1,5,0,1,146,123,27,33,41,18,1,7,8,20,0.625,0.55,0,0,0,0,6,10,3,4,0.5441683630755288,0.4558316369244713,0,0,6,5,5,6,1,0,1,0,92,65,3,2,7,3,4,2,0.14285714285714285,0.3333333333333333,3,3,3,3,1,1,0,0,4,1,5,1,0.4,1,0.4,1,0,1,0,1,2,1,1,1,2,1,2,1,5.312459150169743,1,6.649979114420001,1,home_team
3825864,11,18,0.36363636363636365,0.3333333333333333,25.021200679849514,15.488185528995382,0,1,6,12,0.5454545454545454,0.6666666666666666,9,12,2,6,0,0,461,534,0.7310195227765727,0.7940074906367042,9,15,41.90909090909091,29.666666666666668,13,17,0.38461538461538464,0.29411764705882354,6,6,11,8,0,0,17,24,12,9,20,14,0.6,0.6428571428571429,19,18,0,0,21,22,0,0,0,0,15,12,4,4,0,0,167,155,50,39,30,34,2,4,18,23,0.6666666666666666,0.7391304347826086,0,0,0,0,8,16,3,3,0.43928538235179393,0.5607146176482063,0,0,3,7,8,1,3,8,2,7,63,69,2,6,6,9,4,6,0.16666666666666666,0.2222222222222222,3,3,3,3,2,1,1,0,1,1,9,1,0.4,1,1.0,1,0,1,1,1,0,1,2,1,0,1,3,1,3.7712361663282534,1,2.494438257849294,1,away_team
3825845,12,7,0.5,0.0,17.077408253714882,120.0,2,1,7,3,0.5833333333333334,0.42857142857142855,10,6,2,1,0,0,352,502,0.6875,0.7569721115537849,7,4,29.333333333333332,71.71428571428571,10,14,0.1,0.21428571428571427,4,2,15,6,0,0,17,19,15,12,27,17,0.5555555555555556,0.7058823529411765,23,19,1,0,23,18,0,0,0,0,14,9,3,3,0,0,157,131,39,30,36,22,3,1,25,18,0.6,0.5555555555555556,0,1,0,0,9,21,3,3,0.4298848574696888,0.5701151425303111,2,0,8,0,5,6,2,1,2,1,61,64,3,1,4,5,2,2,0.75,0.0,3,3,3,2,2,2,1,0,1,1,4,1,0.0,1,0.2,1,0,1,0,1,4,1,0,1,0,1,2,1,1.247219128924647,1,2.6246692913372702,1,home_team
3825894,15,9,0.3333333333333333,0.5555555555555556,25.6656962830943,18.415830483958217,0,1,4,7,0.26666666666666666,0.7777777777777778,14,9,1,0,0,0,456,397,0.7478070175438597,0.7405541561712846,7,9,30.4,44.111111111111114,14,9,0.07142857142857142,0.5555555555555556,8,5,8,8,0,0,22,22,21,9,28,15,0.75,0.6,8,21,1,0,24,31,0,0,0,0,22,17,2,6,1,0,165,185,36,37,45,31,2,4,11,24,0.8181818181818182,0.5416666666666666,0,0,0,0,13,18,4,4,0.5422791488409571,0.4577208511590428,2,0,4,3,2,5,2,1,1,1,74,83,1,1,10,7,3,5,0.4,0.5714285714285714,3,3,3,3,2,2,0,0,2,1,4,1,0.0,1,0.2,1,0,1,1,1,1,1,2,1,1,1,2,1,4.988876515698588,1,4.4969125210773475,1,away_team
3825878,12,13,0.5,0.15384615384615385,20.372557616735705,14.564204368108332,1,1,6,5,0.5,0.38461538461538464,12,11,0,2,0,0,355,547,0.6197183098591549,0.753199268738574,10,10,29.583333333333332,42.07692307692308,11,13,0.0,0.23076923076923078,5,7,9,17,1,0,32,17,18,9,33,20,0.5454545454545454,0.45,16,14,1,1,36,19,0,0,0,1,16,16,1,1,0,0,176,213,31,58,39,51,6,0,26,24,0.6923076923076923,0.5,0,0,0,0,12,22,4,4,0.4334106847024633,0.5665893152975368,3,1,4,7,3,9,1,3,1,1,96,63,4,1,6,7,4,2,0.5,0.0,3,3,3,3,2,2,0,1,9,1,4,1,1.0,1,0.4,1,1,1,0,1,0,1,3,1,1,1,2,1,2.8284271247461903,1,1.4142135623730951,1,home_team
3825855,24,11,0.4166666666666667,0.45454545454545453,15.444404086765164,12.989220618388083,3,4,18,10,0.75,0.9090909090909091,16,10,8,1,0,0,515,379,0.7339805825242719,0.6886543535620053,18,10,21.458333333333332,34.45454545454545,16,10,0.5,0.5,13,7,8,6,0,0,24,25,15,5,20,12,0.75,0.4166666666666667,19,12,0,0,18,42,0,0,0,0,17,12,2,4,0,0,121,125,32,22,18,21,1,3,14,17,0.5,0.5882352941176471,1,0,0,0,6,14,3,2,0.602086791350139,0.3979132086498611,1,0,1,5,6,1,5,3,4,3,66,56,3,3,12,9,10,8,0.25,0.5555555555555556,3,3,2,3,1,0,0,0,1,1,4,1,0.0,1,0.2,1,0,1,0,1,1,1,2,1,0,1,2,1,4.4969125210773475,1,1.632993161855452,1,home_team
3825873,7,8,0.14285714285714285,0.375,20.120636172845032,18.15194943789716,0,1,2,6,0.2857142857142857,0.75,7,8,0,0,0,0,616,504,0.8392857142857143,0.8075396825396826,6,6,88.0,63.0,27,10,0.14814814814814814,0.2,9,3,13,5,0,0,20,17,11,18,17,23,0.6470588235294118,0.782608695652174,17,13,0,1,11,22,0,0,1,0,16,12,1,2,0,0,178,151,34,35,43,23,0,3,26,21,0.46153846153846156,0.5238095238095238,0,0,0,0,10,9,2,2,0.5342739401079813,0.4657260598920187,0,1,5,2,8,2,1,0,1,0,63,88,1,0,3,5,0,4,0.0,0.2,3,3,3,3,2,2,1,0,7,1,1,1,0.6,1,0.4,1,1,1,0,1,2,1,0,1,2,1,0,1,1.632993161855452,1,1.247219128924647,1,away_team
